site,deployment,deployed_at,uuid,time.s,time.h,battery.V,ch4rf_raw,ch4rf_cal,ch4_raw,ch4_cal,user_note,user_value
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938407.010,2022-01-11 22:00:07.2F000000F80F00200044004090000000,301,2080,-36965,210,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938407.021,2022-01-11 22:00:07.2F000000F80F00200044004090000000,478,2080,-36965,211,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938407.033,2022-01-11 22:00:07.2F000000F80F00200044004090000000,495,2080,-36965,214,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938407.045,2022-01-11 22:00:07.2F000000F80F00200044004090000000,498,2080,-36965,213,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938407.056,2022-01-11 22:00:07.2F000000F80F00200044004090000000,500,2078,-36965,221,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938407.068,2022-01-11 22:00:07.2F000000F80F00200044004090000000,500,2079,-36965,221,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938407.139,2022-01-11 22:00:07.2F000000F80F00200044004090000000,512,2080,-36965,226,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938407.151,2022-01-11 22:00:07.2F000000F80F00200044004090000000,496,2080,-36965,230,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938407.163,2022-01-11 22:00:07.2F000000F80F00200044004090000000,498,2080,-36965,232,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938407.174,2022-01-11 22:00:07.2F000000F80F00200044004090000000,502,2079,-36965,237,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938467.194,2022-01-11 22:01:67.2F000000F80F00200044004090000000,364,2083,-36965,537,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938467.206,2022-01-11 22:01:67.2F000000F80F00200044004090000000,494,2083,-36965,537,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938467.260,2022-01-11 22:01:67.2F000000F80F00200044004090000000,500,2082,-36965,541,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938467.271,2022-01-11 22:01:67.2F000000F80F00200044004090000000,502,2085,-36965,541,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938467.283,2022-01-11 22:01:67.2F000000F80F00200044004090000000,503,2085,-36965,539,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938467.295,2022-01-11 22:01:67.2F000000F80F00200044004090000000,504,2083,-36965,537,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938467.307,2022-01-11 22:01:67.2F000000F80F00200044004090000000,500,2085,-36965,542,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938467.318,2022-01-11 22:01:67.2F000000F80F00200044004090000000,507,2083,-36965,541,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938467.354,2022-01-11 22:01:67.2F000000F80F00200044004090000000,500,2085,-36965,541,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938467.366,2022-01-11 22:01:67.2F000000F80F00200044004090000000,502,2086,-36965,540,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938527.386,2022-01-11 22:02:12.2F000000F80F00200044004090000000,362,2097,-36965,651,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938527.397,2022-01-11 22:02:12.2F000000F80F00200044004090000000,482,2095,-36965,652,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938527.409,2022-01-11 22:02:12.2F000000F80F00200044004090000000,499,2096,-36965,655,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938527.421,2022-01-11 22:02:12.2F000000F80F00200044004090000000,508,2096,-36965,653,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938527.475,2022-01-11 22:02:12.2F000000F80F00200044004090000000,499,2095,-36965,651,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938527.487,2022-01-11 22:02:12.2F000000F80F00200044004090000000,499,2097,-36965,654,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938527.498,2022-01-11 22:02:12.2F000000F80F00200044004090000000,497,2097,-36965,651,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938527.510,2022-01-11 22:02:12.2F000000F80F00200044004090000000,496,2095,-36965,655,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938527.522,2022-01-11 22:02:12.2F000000F80F00200044004090000000,502,2095,-36965,655,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938527.576,2022-01-11 22:02:12.2F000000F80F00200044004090000000,509,2095,-36965,655,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938587.596,2022-01-11 22:03:18.2F000000F80F00200044004090000000,361,2107,-36965,712,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938587.607,2022-01-11 22:03:18.2F000000F80F00200044004090000000,484,2107,-36965,714,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938587.619,2022-01-11 22:03:18.2F000000F80F00200044004090000000,495,2108,-36965,712,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938587.631,2022-01-11 22:03:18.2F000000F80F00200044004090000000,499,2109,-36965,711,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938587.642,2022-01-11 22:03:18.2F000000F80F00200044004090000000,509,2108,-36965,713,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938587.696,2022-01-11 22:03:18.2F000000F80F00200044004090000000,501,2107,-36965,710,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938587.708,2022-01-11 22:03:18.2F000000F80F00200044004090000000,500,2109,-36965,713,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938587.720,2022-01-11 22:03:18.2F000000F80F00200044004090000000,496,2108,-36965,711,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938587.732,2022-01-11 22:03:18.2F000000F80F00200044004090000000,498,2107,-36965,712,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938587.743,2022-01-11 22:03:18.2F000000F80F00200044004090000000,499,2109,-36965,713,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938647.763,2022-01-11 22:04:24.2F000000F80F00200044004090000000,362,2120,-36965,727,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938647.817,2022-01-11 22:04:24.2F000000F80F00200044004090000000,485,2120,-36965,730,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938647.829,2022-01-11 22:04:24.2F000000F80F00200044004090000000,499,2120,-36965,729,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938647.841,2022-01-11 22:04:24.2F000000F80F00200044004090000000,501,2121,-36965,727,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938647.852,2022-01-11 22:04:24.2F000000F80F00200044004090000000,500,2119,-36965,730,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938647.864,2022-01-11 22:04:24.2F000000F80F00200044004090000000,500,2118,-36965,729,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938647.876,2022-01-11 22:04:24.2F000000F80F00200044004090000000,510,2118,-36965,729,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938647.930,2022-01-11 22:04:24.2F000000F80F00200044004090000000,506,2120,-36965,727,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938647.942,2022-01-11 22:04:24.2F000000F80F00200044004090000000,506,2119,-36965,726,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938647.953,2022-01-11 22:04:24.2F000000F80F00200044004090000000,504,2117,-36965,729,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938707.973,2022-01-11 22:05:30.2F000000F80F00200044004090000000,355,2126,-36965,721,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938707.985,2022-01-11 22:05:30.2F000000F80F00200044004090000000,487,2128,-36965,720,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938708.039,2022-01-11 22:05:30.2F000000F80F00200044004090000000,511,2126,-36965,717,-63203,,
jar0,2F000000F80F00200044004090000000,1641937777,57FF6C068387575146261167,1641938708.051,2022-01-11 22:05:30.2F000000F80F00200044004090000000,505,2127,-36965,720,-63203,,
