site,deployment,deployed_at,uuid,time.s,time.h,battery.V,ch4rf_raw,ch4rf_cal,ch4_raw,ch4_cal,user_note,user_value
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938408.010,2022-01-11 22:00:08.18000000F80F00200044004080000000,268,1743,-22902,172,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938408.021,2022-01-11 22:00:08.18000000F80F00200044004080000000,471,1744,-22902,172,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938408.033,2022-01-11 22:00:08.18000000F80F00200044004080000000,495,1746,-22902,169,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938408.044,2022-01-11 22:00:08.18000000F80F00200044004080000000,499,1743,-22902,172,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938408.056,2022-01-11 22:00:08.18000000F80F00200044004080000000,497,1746,-22902,171,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938408.068,2022-01-11 22:00:08.18000000F80F00200044004080000000,501,1743,-22902,173,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938408.154,2022-01-11 22:00:08.18000000F80F00200044004080000000,507,1743,-22902,179,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938408.166,2022-01-11 22:00:08.18000000F80F00200044004080000000,499,1743,-22902,181,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938408.177,2022-01-11 22:00:08.18000000F80F00200044004080000000,505,1744,-22902,183,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938408.189,2022-01-11 22:00:08.18000000F80F00200044004080000000,501,1744,-22902,184,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938468.208,2022-01-11 22:01:68.18000000F80F00200044004080000000,297,1797,-22902,402,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938468.220,2022-01-11 22:01:68.18000000F80F00200044004080000000,486,1794,-22902,398,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938468.275,2022-01-11 22:01:68.18000000F80F00200044004080000000,496,1797,-22902,398,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938468.286,2022-01-11 22:01:68.18000000F80F00200044004080000000,498,1795,-22902,401,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938468.298,2022-01-11 22:01:68.18000000F80F00200044004080000000,499,1795,-22902,400,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938468.310,2022-01-11 22:01:68.18000000F80F00200044004080000000,500,1796,-22902,400,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938468.321,2022-01-11 22:01:68.18000000F80F00200044004080000000,499,1796,-22902,399,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938468.333,2022-01-11 22:01:68.18000000F80F00200044004080000000,505,1797,-22902,401,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938468.369,2022-01-11 22:01:68.18000000F80F00200044004080000000,498,1796,-22902,402,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938468.380,2022-01-11 22:01:68.18000000F80F00200044004080000000,501,1795,-22902,401,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938528.400,2022-01-11 22:02:12.18000000F80F00200044004080000000,298,1807,-22902,438,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938528.411,2022-01-11 22:02:12.18000000F80F00200044004080000000,475,1809,-22902,435,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938528.423,2022-01-11 22:02:12.18000000F80F00200044004080000000,497,1808,-22902,439,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938528.435,2022-01-11 22:02:12.18000000F80F00200044004080000000,504,1809,-22902,438,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938528.489,2022-01-11 22:02:12.18000000F80F00200044004080000000,502,1806,-22902,438,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938528.500,2022-01-11 22:02:12.18000000F80F00200044004080000000,500,1807,-22902,437,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938528.512,2022-01-11 22:02:12.18000000F80F00200044004080000000,501,1807,-22902,437,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938528.524,2022-01-11 22:02:12.18000000F80F00200044004080000000,500,1806,-22902,435,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938528.535,2022-01-11 22:02:12.18000000F80F00200044004080000000,506,1808,-22902,438,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938528.589,2022-01-11 22:02:12.18000000F80F00200044004080000000,511,1808,-22902,439,-5108,,
jar4,18000000F80F00200044004080000000,1641937791,50FF6F068678545237381567,1641938588.609,2022-01-11 22:03:18.18000000F80F00200044004080000000,297,1813,-22902,457,-5108,,
