site,deployment,deployed_at,uuid,time.s,time.h,battery.V,ch4rf_raw,ch4rf_cal,ch4_raw,ch4_cal,user_note,user_value
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938408.010,2022-01-11 22:00:08.0E000000F80F00200044004080000000,264,1575,-29101,516,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938408.022,2022-01-11 22:00:08.0E000000F80F00200044004080000000,489,1576,-29101,518,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938408.034,2022-01-11 22:00:08.0E000000F80F00200044004080000000,518,1577,-29101,523,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938408.046,2022-01-11 22:00:08.0E000000F80F00200044004080000000,497,1575,-29101,527,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938408.058,2022-01-11 22:00:08.0E000000F80F00200044004080000000,501,1577,-29101,527,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938408.069,2022-01-11 22:00:08.0E000000F80F00200044004080000000,510,1576,-29101,533,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938408.140,2022-01-11 22:00:08.0E000000F80F00200044004080000000,505,1576,-29101,543,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938408.152,2022-01-11 22:00:08.0E000000F80F00200044004080000000,507,1577,-29101,550,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938408.164,2022-01-11 22:00:08.0E000000F80F00200044004080000000,514,1576,-29101,550,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938408.175,2022-01-11 22:00:08.0E000000F80F00200044004080000000,516,1577,-29101,554,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938468.195,2022-01-11 22:01:68.0E000000F80F00200044004080000000,311,1594,-29101,810,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938468.207,2022-01-11 22:01:68.0E000000F80F00200044004080000000,495,1592,-29101,808,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938468.261,2022-01-11 22:01:68.0E000000F80F00200044004080000000,509,1594,-29101,810,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938468.272,2022-01-11 22:01:68.0E000000F80F00200044004080000000,502,1594,-29101,810,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938468.284,2022-01-11 22:01:68.0E000000F80F00200044004080000000,513,1593,-29101,808,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938468.296,2022-01-11 22:01:68.0E000000F80F00200044004080000000,496,1594,-29101,809,-303978,,
jar2,0E000000F80F00200044004080000000,1641937784,50FF6D068678545249232467,1641938468.308,2022-01-11 22:01:68.0E000000F80F00200044004080000000,501,1595,-29101,811,-303978,,
