site,deployment,deployed_at,uuid,time.s,time.h,battery.V,ch4rf_raw,ch4rf_cal,ch4_raw,ch4_cal,user_note,user_value
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784405.009,2022-01-21 17:00:05.21000000F80F00200044004000000000,294,1668,-29101,200,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784405.021,2022-01-21 17:00:05.21000000F80F00200044004000000000,479,1669,-29101,202,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784405.033,2022-01-21 17:00:05.21000000F80F00200044004000000000,505,1670,-29101,203,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784405.045,2022-01-21 17:00:05.21000000F80F00200044004000000000,508,1667,-29101,207,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784405.057,2022-01-21 17:00:05.21000000F80F00200044004000000000,508,1670,-29101,209,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784405.068,2022-01-21 17:00:05.21000000F80F00200044004000000000,514,1669,-29101,210,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784405.140,2022-01-21 17:00:05.21000000F80F00200044004000000000,493,1668,-29101,219,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784405.152,2022-01-21 17:00:05.21000000F80F00200044004000000000,489,1667,-29101,221,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784405.163,2022-01-21 17:00:05.21000000F80F00200044004000000000,508,1668,-29101,222,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784405.175,2022-01-21 17:00:05.21000000F80F00200044004000000000,508,1669,-29101,224,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784465.195,2022-01-21 17:01:65.21000000F80F00200044004000000000,343,1671,-29101,359,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784465.207,2022-01-21 17:01:65.21000000F80F00200044004000000000,487,1669,-29101,358,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784465.264,2022-01-21 17:01:65.21000000F80F00200044004000000000,508,1671,-29101,358,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784465.276,2022-01-21 17:01:65.21000000F80F00200044004000000000,508,1671,-29101,358,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784465.288,2022-01-21 17:01:65.21000000F80F00200044004000000000,495,1669,-29101,359,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784465.300,2022-01-21 17:01:65.21000000F80F00200044004000000000,497,1671,-29101,358,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784465.312,2022-01-21 17:01:65.21000000F80F00200044004000000000,492,1671,-29101,359,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784465.323,2022-01-21 17:01:65.21000000F80F00200044004000000000,507,1671,-29101,360,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784465.359,2022-01-21 17:01:65.21000000F80F00200044004000000000,492,1671,-29101,359,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784465.371,2022-01-21 17:01:65.21000000F80F00200044004000000000,509,1671,-29101,359,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784525.391,2022-01-21 17:02:12.21000000F80F00200044004000000000,346,1682,-29101,320,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784525.403,2022-01-21 17:02:12.21000000F80F00200044004000000000,473,1681,-29101,318,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784525.414,2022-01-21 17:02:12.21000000F80F00200044004000000000,489,1680,-29101,319,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784525.469,2022-01-21 17:02:12.21000000F80F00200044004000000000,518,1682,-29101,318,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784525.480,2022-01-21 17:02:12.21000000F80F00200044004000000000,490,1680,-29101,319,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784525.492,2022-01-21 17:02:12.21000000F80F00200044004000000000,499,1681,-29101,319,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784525.504,2022-01-21 17:02:12.21000000F80F00200044004000000000,504,1681,-29101,319,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784525.516,2022-01-21 17:02:12.21000000F80F00200044004000000000,505,1680,-29101,319,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784525.528,2022-01-21 17:02:12.21000000F80F00200044004000000000,505,1682,-29101,320,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784525.582,2022-01-21 17:02:12.21000000F80F00200044004000000000,505,1682,-29101,320,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784585.602,2022-01-21 17:03:18.21000000F80F00200044004000000000,338,1684,-29101,326,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784585.613,2022-01-21 17:03:18.21000000F80F00200044004000000000,493,1687,-29101,326,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784585.625,2022-01-21 17:03:18.21000000F80F00200044004000000000,505,1686,-29101,325,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784585.637,2022-01-21 17:03:18.21000000F80F00200044004000000000,496,1686,-29101,326,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784585.649,2022-01-21 17:03:18.21000000F80F00200044004000000000,521,1685,-29101,325,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784585.703,2022-01-21 17:03:18.21000000F80F00200044004000000000,502,1685,-29101,325,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784585.715,2022-01-21 17:03:18.21000000F80F00200044004000000000,504,1686,-29101,325,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784585.726,2022-01-21 17:03:18.21000000F80F00200044004000000000,509,1684,-29101,326,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784585.738,2022-01-21 17:03:18.21000000F80F00200044004000000000,505,1686,-29101,325,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784585.750,2022-01-21 17:03:18.21000000F80F00200044004000000000,493,1685,-29101,325,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784645.770,2022-01-21 17:04:24.21000000F80F00200044004000000000,336,1690,-29101,330,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784645.824,2022-01-21 17:04:24.21000000F80F00200044004000000000,481,1689,-29101,331,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784645.836,2022-01-21 17:04:24.21000000F80F00200044004000000000,490,1688,-29101,330,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784645.848,2022-01-21 17:04:24.21000000F80F00200044004000000000,502,1690,-29101,330,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784645.860,2022-01-21 17:04:24.21000000F80F00200044004000000000,497,1689,-29101,330,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784645.871,2022-01-21 17:04:24.21000000F80F00200044004000000000,512,1688,-29101,330,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784645.926,2022-01-21 17:04:24.21000000F80F00200044004000000000,515,1689,-29101,332,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784645.937,2022-01-21 17:04:24.21000000F80F00200044004000000000,505,1690,-29101,330,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784645.949,2022-01-21 17:04:24.21000000F80F00200044004000000000,504,1690,-29101,331,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784645.961,2022-01-21 17:04:24.21000000F80F00200044004000000000,493,1690,-29101,331,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784705.981,2022-01-21 17:05:30.21000000F80F00200044004000000000,344,1691,-29101,335,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784705.993,2022-01-21 17:05:30.21000000F80F00200044004000000000,502,1693,-29101,334,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784706.047,2022-01-21 17:05:30.21000000F80F00200044004000000000,494,1693,-29101,334,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784706.059,2022-01-21 17:05:30.21000000F80F00200044004000000000,498,1693,-29101,333,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784706.070,2022-01-21 17:05:30.21000000F80F00200044004000000000,510,1692,-29101,334,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784706.082,2022-01-21 17:05:30.21000000F80F00200044004000000000,512,1693,-29101,335,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784706.094,2022-01-21 17:05:30.21000000F80F00200044004000000000,505,1691,-29101,333,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784706.106,2022-01-21 17:05:30.21000000F80F00200044004000000000,519,1692,-29101,332,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784706.160,2022-01-21 17:05:30.21000000F80F00200044004000000000,505,1691,-29101,332,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784706.172,2022-01-21 17:05:30.21000000F80F00200044004000000000,507,1692,-29101,333,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784766.192,2022-01-21 17:06:36.21000000F80F00200044004000000000,323,1694,-29101,336,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784766.204,2022-01-21 17:06:36.21000000F80F00200044004000000000,477,1693,-29101,335,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784766.215,2022-01-21 17:06:36.21000000F80F00200044004000000000,507,1694,-29101,336,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784766.227,2022-01-21 17:06:36.21000000F80F00200044004000000000,508,1694,-29101,335,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784766.282,2022-01-21 17:06:36.21000000F80F00200044004000000000,496,1694,-29101,336,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784766.293,2022-01-21 17:06:36.21000000F80F00200044004000000000,493,1692,-29101,335,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784766.305,2022-01-21 17:06:36.21000000F80F00200044004000000000,492,1692,-29101,337,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784766.317,2022-01-21 17:06:36.21000000F80F00200044004000000000,494,1692,-29101,335,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784766.329,2022-01-21 17:06:36.21000000F80F00200044004000000000,503,1693,-29101,335,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784766.383,2022-01-21 17:06:36.21000000F80F00200044004000000000,503,1693,-29101,335,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784826.403,2022-01-21 17:07:42.21000000F80F00200044004000000000,342,1691,-29101,336,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784826.415,2022-01-21 17:07:42.21000000F80F00200044004000000000,491,1691,-29101,336,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784826.427,2022-01-21 17:07:42.21000000F80F00200044004000000000,509,1692,-29101,335,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784826.438,2022-01-21 17:07:42.21000000F80F00200044004000000000,506,1691,-29101,338,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784826.450,2022-01-21 17:07:42.21000000F80F00200044004000000000,504,1693,-29101,337,-303978,,
jar2,21000000F80F00200044004000000000,1642782194,50FF6D068678545249232467,1642784826.508,2022-01-21 17:07:42.21000000F80F00200044004000000000,508,1691,-29101,336,-303978,,
