site,deployment,deployed_at,uuid,time.s,time.h,battery.V,ch4rf_raw,ch4rf_cal,ch4_raw,ch4_cal,user_note,user_value
jar4,30000000F80F00200044004080000000,1641933025,50FF6F068678545237381567,1641933605.010,2022-01-11 20:40:05.30000000F80F00200044004080000000,265,1791,-22902,193,-5108,,
jar4,30000000F80F00200044004080000000,1641933025,50FF6F068678545237381567,1641933605.022,2022-01-11 20:40:05.30000000F80F00200044004080000000,470,1793,-22902,197,-5108,,
jar4,30000000F80F00200044004080000000,1641933025,50FF6F068678545237381567,1641933605.033,2022-01-11 20:40:05.30000000F80F00200044004080000000,495,1794,-22902,200,-5108,,
jar4,30000000F80F00200044004080000000,1641933025,50FF6F068678545237381567,1641933605.045,2022-01-11 20:40:05.30000000F80F00200044004080000000,498,1791,-22902,202,-5108,,
jar4,30000000F80F00200044004080000000,1641933025,50FF6F068678545237381567,1641933605.056,2022-01-11 20:40:05.30000000F80F00200044004080000000,500,1793,-22902,200,-5108,,
jar4,30000000F80F00200044004080000000,1641933025,50FF6F068678545237381567,1641933605.068,2022-01-11 20:40:05.30000000F80F00200044004080000000,498,1793,-22902,202,-5108,,
jar4,30000000F80F00200044004080000000,1641933025,50FF6F068678545237381567,1641933605.164,2022-01-11 20:40:05.30000000F80F00200044004080000000,508,1791,-22902,207,-5108,,
jar4,30000000F80F00200044004080000000,1641933025,50FF6F068678545237381567,1641933605.176,2022-01-11 20:40:05.30000000F80F00200044004080000000,501,1791,-22902,211,-5108,,
jar4,30000000F80F00200044004080000000,1641933025,50FF6F068678545237381567,1641933605.187,2022-01-11 20:40:05.30000000F80F00200044004080000000,503,1792,-22902,210,-5108,,
jar4,30000000F80F00200044004080000000,1641933025,50FF6F068678545237381567,1641933605.199,2022-01-11 20:40:05.30000000F80F00200044004080000000,500,1793,-22902,211,-5108,,
jar4,30000000F80F00200044004080000000,1641933025,50FF6F068678545237381567,1641933605.216,2022-01-11 20:40:05.30000000F80F00200044004080000000,500,1794,-22902,212,-5108,,
jar4,30000000F80F00200044004080000000,1641933025,50FF6F068678545237381567,1641933605.228,2022-01-11 20:40:05.30000000F80F00200044004080000000,510,1791,-22902,216,-5108,,
jar4,30000000F80F00200044004080000000,1641933025,50FF6F068678545237381567,1641933605.283,2022-01-11 20:40:05.30000000F80F00200044004080000000,499,1794,-22902,218,-5108,,
jar4,30000000F80F00200044004080000000,1641933025,50FF6F068678545237381567,1641933605.294,2022-01-11 20:40:05.30000000F80F00200044004080000000,501,1793,-22902,221,-5108,,
