site,deployment,deployed_at,uuid,time.s,time.h,battery.V,ch4rf_raw,ch4rf_cal,ch4_raw,ch4_cal,user_note,user_value
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784405.010,2022-01-21 17:00:05.1E000000F80F00200044004000000000,302,1192,-54736,466,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784405.022,2022-01-21 17:00:05.1E000000F80F00200044004000000000,464,1194,-54736,465,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784405.033,2022-01-21 17:00:05.1E000000F80F00200044004000000000,489,1195,-54736,467,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784405.045,2022-01-21 17:00:05.1E000000F80F00200044004000000000,493,1193,-54736,469,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784405.057,2022-01-21 17:00:05.1E000000F80F00200044004000000000,491,1193,-54736,470,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784405.068,2022-01-21 17:00:05.1E000000F80F00200044004000000000,490,1194,-54736,468,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784405.180,2022-01-21 17:00:05.1E000000F80F00200044004000000000,507,1201,-54736,478,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784405.192,2022-01-21 17:00:05.1E000000F80F00200044004000000000,495,1200,-54736,482,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784405.203,2022-01-21 17:00:05.1E000000F80F00200044004000000000,487,1200,-54736,480,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784405.215,2022-01-21 17:00:05.1E000000F80F00200044004000000000,488,1202,-54736,482,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784465.235,2022-01-21 17:01:65.1E000000F80F00200044004000000000,332,1292,-54736,627,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784465.247,2022-01-21 17:01:65.1E000000F80F00200044004000000000,484,1291,-54736,628,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784465.303,2022-01-21 17:01:65.1E000000F80F00200044004000000000,490,1292,-54736,627,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784465.315,2022-01-21 17:01:65.1E000000F80F00200044004000000000,488,1293,-54736,627,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784465.327,2022-01-21 17:01:65.1E000000F80F00200044004000000000,489,1290,-54736,627,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784465.339,2022-01-21 17:01:65.1E000000F80F00200044004000000000,494,1290,-54736,625,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784465.350,2022-01-21 17:01:65.1E000000F80F00200044004000000000,493,1291,-54736,626,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784465.362,2022-01-21 17:01:65.1E000000F80F00200044004000000000,498,1292,-54736,626,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784465.398,2022-01-21 17:01:65.1E000000F80F00200044004000000000,492,1291,-54736,626,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784465.410,2022-01-21 17:01:65.1E000000F80F00200044004000000000,490,1292,-54736,629,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784525.429,2022-01-21 17:02:12.1E000000F80F00200044004000000000,331,1304,-54736,644,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784525.441,2022-01-21 17:02:12.1E000000F80F00200044004000000000,475,1303,-54736,644,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784525.453,2022-01-21 17:02:12.1E000000F80F00200044004000000000,492,1305,-54736,645,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784525.464,2022-01-21 17:02:12.1E000000F80F00200044004000000000,501,1306,-54736,646,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784525.519,2022-01-21 17:02:12.1E000000F80F00200044004000000000,494,1304,-54736,644,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784525.530,2022-01-21 17:02:12.1E000000F80F00200044004000000000,490,1305,-54736,645,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784525.542,2022-01-21 17:02:12.1E000000F80F00200044004000000000,490,1305,-54736,644,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784525.554,2022-01-21 17:02:12.1E000000F80F00200044004000000000,488,1303,-54736,645,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784525.566,2022-01-21 17:02:12.1E000000F80F00200044004000000000,490,1303,-54736,647,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784525.620,2022-01-21 17:02:12.1E000000F80F00200044004000000000,504,1304,-54736,646,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784585.640,2022-01-21 17:03:18.1E000000F80F00200044004000000000,331,1309,-54736,656,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784585.651,2022-01-21 17:03:18.1E000000F80F00200044004000000000,471,1310,-54736,657,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784585.663,2022-01-21 17:03:18.1E000000F80F00200044004000000000,490,1309,-54736,655,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784585.675,2022-01-21 17:03:18.1E000000F80F00200044004000000000,492,1312,-54736,655,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784585.686,2022-01-21 17:03:18.1E000000F80F00200044004000000000,504,1310,-54736,655,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784585.741,2022-01-21 17:03:18.1E000000F80F00200044004000000000,492,1309,-54736,653,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784585.752,2022-01-21 17:03:18.1E000000F80F00200044004000000000,489,1311,-54736,655,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784585.764,2022-01-21 17:03:18.1E000000F80F00200044004000000000,490,1308,-54736,657,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784585.776,2022-01-21 17:03:18.1E000000F80F00200044004000000000,489,1311,-54736,654,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784585.787,2022-01-21 17:03:18.1E000000F80F00200044004000000000,492,1309,-54736,656,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784645.807,2022-01-21 17:04:24.1E000000F80F00200044004000000000,329,1313,-54736,662,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784645.861,2022-01-21 17:04:24.1E000000F80F00200044004000000000,472,1313,-54736,661,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784645.873,2022-01-21 17:04:24.1E000000F80F00200044004000000000,490,1313,-54736,663,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784645.885,2022-01-21 17:04:24.1E000000F80F00200044004000000000,489,1313,-54736,662,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784645.896,2022-01-21 17:04:24.1E000000F80F00200044004000000000,493,1313,-54736,660,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784645.908,2022-01-21 17:04:24.1E000000F80F00200044004000000000,495,1313,-54736,664,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784645.920,2022-01-21 17:04:24.1E000000F80F00200044004000000000,505,1313,-54736,662,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784645.974,2022-01-21 17:04:24.1E000000F80F00200044004000000000,493,1315,-54736,662,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784645.986,2022-01-21 17:04:24.1E000000F80F00200044004000000000,491,1315,-54736,664,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784645.997,2022-01-21 17:04:24.1E000000F80F00200044004000000000,492,1315,-54736,663,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784706.017,2022-01-21 17:05:30.1E000000F80F00200044004000000000,322,1318,-54736,671,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784706.029,2022-01-21 17:05:30.1E000000F80F00200044004000000000,471,1319,-54736,669,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784706.100,2022-01-21 17:05:30.1E000000F80F00200044004000000000,501,1318,-54736,671,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784706.112,2022-01-21 17:05:30.1E000000F80F00200044004000000000,496,1321,-54736,669,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784706.124,2022-01-21 17:05:30.1E000000F80F00200044004000000000,493,1319,-54736,669,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784706.135,2022-01-21 17:05:30.1E000000F80F00200044004000000000,492,1320,-54736,671,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784706.147,2022-01-21 17:05:30.1E000000F80F00200044004000000000,492,1318,-54736,671,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784706.159,2022-01-21 17:05:30.1E000000F80F00200044004000000000,502,1318,-54736,671,-17130,,
jar3,1E000000F80F00200044004000000000,1642782189,50FF6C068678545210362467,1642784706.213,2022-01-21 17:05:30.1E000000F80F00200044004000000000,495,1318,-54736,668,-17130,,
