site,deployment,deployed_at,uuid,time.s,time.h,battery.V,ch4rf_raw,ch4rf_cal,ch4_raw,ch4_cal,user_note,user_value
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938408.010,2022-01-11 22:00:08.11000000F80F00200044004080000000,276,1100,-54736,573,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938408.022,2022-01-11 22:00:08.11000000F80F00200044004080000000,474,1102,-54736,572,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938408.033,2022-01-11 22:00:08.11000000F80F00200044004080000000,493,1103,-54736,574,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938408.045,2022-01-11 22:00:08.11000000F80F00200044004080000000,495,1102,-54736,576,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938408.057,2022-01-11 22:00:08.11000000F80F00200044004080000000,496,1101,-54736,577,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938408.068,2022-01-11 22:00:08.11000000F80F00200044004080000000,496,1104,-54736,578,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938408.166,2022-01-11 22:00:08.11000000F80F00200044004080000000,511,1107,-54736,586,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938408.178,2022-01-11 22:00:08.11000000F80F00200044004080000000,497,1109,-54736,587,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938408.190,2022-01-11 22:00:08.11000000F80F00200044004080000000,503,1109,-54736,587,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938408.202,2022-01-11 22:00:08.11000000F80F00200044004080000000,498,1111,-54736,590,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938468.221,2022-01-11 22:01:68.11000000F80F00200044004080000000,302,1225,-54736,740,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938468.233,2022-01-11 22:01:68.11000000F80F00200044004080000000,482,1221,-54736,738,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938468.287,2022-01-11 22:01:68.11000000F80F00200044004080000000,495,1225,-54736,739,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938468.299,2022-01-11 22:01:68.11000000F80F00200044004080000000,495,1224,-54736,740,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938468.311,2022-01-11 22:01:68.11000000F80F00200044004080000000,495,1223,-54736,741,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938468.322,2022-01-11 22:01:68.11000000F80F00200044004080000000,501,1223,-54736,741,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938468.334,2022-01-11 22:01:68.11000000F80F00200044004080000000,503,1225,-54736,739,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938468.346,2022-01-11 22:01:68.11000000F80F00200044004080000000,502,1224,-54736,740,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938468.382,2022-01-11 22:01:68.11000000F80F00200044004080000000,498,1224,-54736,741,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938468.393,2022-01-11 22:01:68.11000000F80F00200044004080000000,504,1224,-54736,740,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938528.413,2022-01-11 22:02:12.11000000F80F00200044004080000000,305,1247,-54736,769,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938528.425,2022-01-11 22:02:12.11000000F80F00200044004080000000,478,1246,-54736,768,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938528.436,2022-01-11 22:02:12.11000000F80F00200044004080000000,496,1247,-54736,767,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938528.448,2022-01-11 22:02:12.11000000F80F00200044004080000000,502,1248,-54736,769,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938528.502,2022-01-11 22:02:12.11000000F80F00200044004080000000,502,1245,-54736,767,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938528.514,2022-01-11 22:02:12.11000000F80F00200044004080000000,501,1247,-54736,768,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938528.526,2022-01-11 22:02:12.11000000F80F00200044004080000000,497,1247,-54736,768,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938528.537,2022-01-11 22:02:12.11000000F80F00200044004080000000,504,1245,-54736,768,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938528.549,2022-01-11 22:02:12.11000000F80F00200044004080000000,504,1246,-54736,768,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938528.603,2022-01-11 22:02:12.11000000F80F00200044004080000000,511,1245,-54736,768,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938588.623,2022-01-11 22:03:18.11000000F80F00200044004080000000,297,1256,-54736,779,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938588.635,2022-01-11 22:03:18.11000000F80F00200044004080000000,475,1257,-54736,777,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938588.646,2022-01-11 22:03:18.11000000F80F00200044004080000000,499,1257,-54736,778,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938588.658,2022-01-11 22:03:18.11000000F80F00200044004080000000,505,1259,-54736,779,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938588.670,2022-01-11 22:03:18.11000000F80F00200044004080000000,505,1257,-54736,779,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938588.724,2022-01-11 22:03:18.11000000F80F00200044004080000000,499,1259,-54736,776,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938588.736,2022-01-11 22:03:18.11000000F80F00200044004080000000,500,1259,-54736,777,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938588.747,2022-01-11 22:03:18.11000000F80F00200044004080000000,505,1255,-54736,778,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938588.759,2022-01-11 22:03:18.11000000F80F00200044004080000000,503,1258,-54736,778,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938588.771,2022-01-11 22:03:18.11000000F80F00200044004080000000,501,1257,-54736,776,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938648.790,2022-01-11 22:04:24.11000000F80F00200044004080000000,296,1271,-54736,796,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938648.845,2022-01-11 22:04:24.11000000F80F00200044004080000000,480,1270,-54736,797,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938648.856,2022-01-11 22:04:24.11000000F80F00200044004080000000,502,1270,-54736,797,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938648.868,2022-01-11 22:04:24.11000000F80F00200044004080000000,501,1272,-54736,798,-17130,,
jar3,11000000F80F00200044004080000000,1641937788,50FF6C068678545210362467,1641938648.880,2022-01-11 22:04:24.11000000F80F00200044004080000000,500,1271,-54736,797,-17130,,
